Question,Answer
How many years of work experience do you have with Programming?,6
How many years of work experience do you have with Unix?,1
How many years of work experience do you have with Stan?,0
Cover letter,
How many years of work experience do you have with Java?,2
We must fill this position urgently. Can you start immediately?,Yes
Have you completed the following level of education: Master's Degree?,Yes
How many years of work experience do you have with TensorFlow?,2
How many years of work experience do you have with SAS (Software)?,1
Are you legally authorized to work in the United States?,Yes
How many years of work experience do you have with Relational Databases?,3
How many years of work experience do you have with Databases?,4
How many years of IT experience do you currently have?,2
Race/Ethnicity,Asian (Not Hispanic or Latino)
How many years of work experience do you have with ASP.NET?,1
How many years of work experience do you have with Application Development?,4
How many years of work experience do you have with Exploratory Data Analysis?,1
Description,
How many years of work experience do you have with Apache Spark ML?,0
Major / Field of study,
Website,
How many years of work experience do you have with SQL?,4
How many years of work experience do you have with Microsoft Azure?,1
Please submit a resume or LinkedIn profile, -916400874.pdf
How many years of work experience do you have with Tableau?,2
How many years of work experience do you have with .NET Framework?,3
How many years of work experience do you have with R (Programming Language)?,1
How many years of work experience do you have with Microsoft SQL Server?,2
Gender,Female
Veteran status,NotProtectedVeteran
State / Province,
First name,
How many years of work experience do you have with Linux?,1
How many years of work experience do you have with Data Analysis?,2
How many years of work experience do you have with Microsoft Excel?,4
School,
How many years of work experience do you have with NoSQL?,1
How many years of work experience do you have with JavaScript?,4
State,
How many years of work experience do you have with C#?,1
<strong>Disability</strong>,No
How many years of work experience do you have with Microsoft Azure Machine Learning?,1
City,
How many years of work experience do you have with Machine Learning?,1
How many years of work experience do you have with Docker Products?,1
Do you have a valid driver's license?,Yes
Are you comfortable working in a hybrid setting?,Yes
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Google Cloud Platform (GCP)?,1
Company,
ZIP / Postal Code,
How many years of work experience do you have with Ruby on Rails?,3
Last name,
Country,
How many years of work experience do you have with Data Quality?,1
How many years of work experience do you have with Pandas (Software)?,4
How many years of work experience do you have with Statistical Tools?,3
How many years of work experience do you have with Computer System Validation?,0
How many years of work experience do you have with Embedded Systems?,1
Degree,
How many years of work experience do you have with Statistical Analysis?,1
How many years of work experience do you have with HTML?,4
How many years of work experience do you have with MySQL?,1
How many years of work experience do you have with PyTorch?,0
Your title,
Street address line 1,
Are you comfortable working in an onsite setting?,Yes
How many years of urn:li:industry:4 experience do you currently have?,5
Have you completed the following level of education: Bachelor's Degree?,Yes
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",No
