Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2022-09-08 04:10:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6973492690202112000,"It's always super interesting to carry out explanatory data analysis on issues that matter to me the most, especially in regards to home demolishments in Palestine.""
""""
""In my recent project, I performed EDA on a dataset on Forced Home Demolitions in Palestine from the years 2004-2021.""
""""
""I also used Logistic Regression, a supervised learning classification model (for categorical variables) that works best on small datasets. I trained the model to predict the area of demolishments.""
""""
""Link to project on my github: ""
""""
""https://lnkd.in/guS9z9Rh ""
""""
""#dataanalysis #eda #datascience #classification #logisticregression",,,MEMBER_NETWORK
2022-08-26 20:41:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6969031096520892416,"Support Vector Classification is used in Classification. It is used to fit the data you provide, returning a ""best fit"" hyperplane that divides, or categorizes, your data. ""
""""
""Catboost Classifier is an algorithm that works using decision trees. A decision tree is a flowchart-type object where feature values are used to identify which tree branch to pick until finally, a prediction is made.""
""""
""Random Forest Classifier is an algorithm that uses an ensemble of the decision trees trained on different random subsets of the data. ""
""""
""I used all three algorithms on a Cardio Fitness dataset where I try to predict what threadmill model a customer buys based on their information. Check it out on my Github! https://lnkd.in/gaCsKPnQ""
""""
""#datascience  #github #algorithms #machinelearning #catboost #randomforest #supervisedlearning",https://github.com/Sajiah/catboost-threadmill-classification,,MEMBER_NETWORK
2022-08-23 19:20:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6967923517447163904,"Before starting my Haskell Programming class last semester, I was anticipating the worst because of the stories I was told and how many people found Haskell programming to be well, a hassle! After finishing the class, I found it to be my favorite subject of the semester with challenging and interesting projects each week! Glad to be working with Professor Lee as a Teaching Assistant/Grader for the subject this semester!!""
""""
""#haskell #programming",,,MEMBER_NETWORK
2022-08-09 16:01:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6962800036309065728,"Two main things I learnt as a machine learning researcher: ""
""""
""- THE PANDAS AND SCIKIT-LEARN LIBRARIES ARE EVERYTHING YOU NEED.""
""""
""- Don't give up on your dataset, sometimes its as simple as turning a regression problem into a classification problem.""
""""
""#machinelearning #datascience #computerscience #pandas #scikitlearn",,,MEMBER_NETWORK
2022-07-29 15:09:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6958800758003703810,,,,MEMBER_NETWORK
2022-07-21 20:57:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6955989199359533056,"I have officially ended my Summer Research Intern Programme as an Excellence Scholar at Syracuse University College of Engineering and Computer Science. I would like to officially thank my amazing and supportive supervisor, Professor Sucheta Soundarajan for all the knowledge she has provided me in the world of Machine Learning and Artificial Intelligence, and it's application in Public Policy. ""
""""
""#machinelearning #artificialintelligence #publicpolicy",,,MEMBER_NETWORK
2022-03-29 01:05:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6914376867869274112,"My dearest father sent me my Valedictorian speech that I gave 5 years ago.  I hope and pray that all the girls in Afghanistan who are deprived of their education by ruthless leaders, be given the chance to one day speak at their graduation.""
""""
""#letafghangirlslearn ""
""""
""https://lnkd.in/dtQjhZ5y",https://www.youtube.com/watch?v=KSWubSgVyII&t=2s,,MEMBER_NETWORK
2022-01-04 18:09:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6884193963532787712,"It's been way too long since I've updated my LinkedIn but a major update is I'm currently a Grad student doing my masters in Computer Science in Syracuse University, New York!",,,MEMBER_NETWORK
2020-08-13 13:28:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6699668039832629249,Bureaucracy in our education system needs to be eliminated! ,,,MEMBER_NETWORK
2020-08-08 08:40:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6697783642455973889,"Using python libraries such as PyAudio, speech recognition and pyglet, this is a web browser I created with speech recognition that captures audio as a google search!""
""""
""#datascience #ai #python #pyaudio #pyqt",,,MEMBER_NETWORK
